Product Name,Product Link,Product_Description,Product Comment,Product Review,Product Upvotes
One Page Investor Summary,https://www.producthunt.com/products/seedproof#one-page-investor-summary,Generate a one page pitch summary,42,3 reviews,"1,090"
Freelance TV,https://www.producthunt.com/products/freelance-tv#freelance-tv,Collection of stories and interviews on freelancing,25,1 review,"1,355"
HelpSite.io,https://www.producthunt.com/products/helpsite-io#helpsite-io,Generate a beautiful FAQ & help site in minutes.,43,,"1,066"
Amy,https://www.producthunt.com/products/amy#amy-2,"Meeting preparation in seconds, straight to your calendar",245,23 reviews,"1,033"
Statsbot Goals,https://www.producthunt.com/products/statsbot#statsbot-goals,Helps you to hit your next business milestone,47,,"1,150"
Streak,https://www.producthunt.com/products/streak#streak,CRM in your inbox - for Gmail,43,8 reviews,"1,057"
Previewed,https://www.producthunt.com/products/previewed#previewed,Beautiful mockups & graphics for your next app,67,4 reviews,"1,094"
GoodGantt,https://www.producthunt.com/products/sergei-vaskov#goodgantt,The best Gantt chart for Trello®,27,,"1,247"
Moonshot,https://www.producthunt.com/products/moonshot-2#moonshot-2,A notebook that helps you plan and execute your ideas,40,1 review,"1,062"
Grapevine,https://www.producthunt.com/products/grapevine-3#grapevine-3,Asynchronous meeting software for remote teams,51,5 reviews,"1,276"
Clover,https://www.producthunt.com/products/clover-4#clover-6,"A creative workspace with notes, whiteboards, tasks, & more",76,5 reviews,"1,116"
Sourcery,https://www.producthunt.com/products/sourcery-ai#sourcery-4,Grammarly for code,96,8 reviews,"1,029"
KanbanMail,https://www.producthunt.com/products/kanbanmail#kanbanmail,A Kanban board for your emails! ✨💌,95,12 reviews,"1,103"
AirBar,https://www.producthunt.com/products/airbar#airbar-2,Connect to your AirPods in a click,72,5 reviews,"1,086"
Workflow by Loom,https://www.producthunt.com/products/loom#workflow-by-loom,Record & share quick videos. Now with powerful integrations.,70,,"1,073"
CleanMyMac X,https://www.producthunt.com/products/macpaw#cleanmymac-x,"Keep your Mac clean, fast, and secure in two clicks.",141,38 reviews,"2,118"
Weje,https://www.producthunt.com/products/weje#weje,Free unlimited online whiteboards for all things that matter,160,19 reviews,"1,182"
Make,https://www.producthunt.com/products/make-4#make-1,"Design, build and automate your work",143,29 reviews,"1,086"
Brevy Beta,https://www.producthunt.com/products/brevy-beta#brevy-beta,"Give feedback, Google-doc style, directly on your website",187,17 reviews,"1,122"
Roam Research,https://www.producthunt.com/products/roam-research#roam-research,A note-taking tool for networked thought,77,24 reviews,"1,099"
Frames for Sketch,https://www.producthunt.com/products/replacer-ui-kit#frames-for-sketch-3,Create awesome websites & apps using powerful design system,8,,"1,050"
History Search,https://www.producthunt.com/products/history-search#history-search,Your filesystem for the web,115,23 reviews,"1,292"
tl;dv for Zoom,https://www.producthunt.com/products/tl-dv#tl-dv-for-zoom,"Record, transcribe, edit & timestamp for Zoom & Google Meet",441,2 reviews,"1,073"
Setapp,https://www.producthunt.com/products/setapp#setapp-d475525d-23f5-4854-8c75-70a30df961d9,Get 100+ curated Mac apps in a single subscription.,97,11 reviews,"2,183"
Uizard,https://www.producthunt.com/products/pix2code#uizard-3,"The design tool for everyone, powered by AI",77,10 reviews,"1,244"
Cassette,https://www.producthunt.com/products/cassette#cassette-2,The best way for designers to record & share user interviews,115,,983
Sketch2Code,https://www.producthunt.com/products/windows-app-store#sketch2code,Turn hand-drawn design into a HTML with AI. By Microsoft.,27,1 review,"1,078"
Apple HomePod,https://www.producthunt.com/products/Apple#apple-homepod-2,The new home entertainment system by Apple,64,,"1,009"
Coda 1.0 + Mobile,https://www.producthunt.com/products/coda#coda-1-0-mobile,A doc as powerful as an app.,67,16 reviews,"1,248"
Skillroads,https://www.producthunt.com/products/skillroads#skillroads,AI career service to help you land a dream job 🤖,65,17 reviews,"1,768"
FlowCV,https://www.producthunt.com/products/flowcv#flowcv-2,Create a beautiful resume & customize it easily,69,12 reviews,"1,116"
Sketch Icons,https://www.producthunt.com/products/sketch-icons#sketch-icons,Generate a dynamic icon library in less than 5 minutes,19,7 reviews,"1,082"
NocoDB,https://www.producthunt.com/products/nocodb#nocodb,Free & open source Airtable alternative,77,4 reviews,964
Kap,https://www.producthunt.com/products/kap#kap,Capture your screen,54,1 review,"1,013"
Flowmagic  🦄,https://www.producthunt.com/products/flowmagic#flowmagic,A simple tracking and management tool for freelancers,41,12 reviews,"1,076"
Converse,https://www.producthunt.com/products/itranslate-translator#converse-2,Turn your iPhone into a translation device,53,1 review,"1,054"
NoCode,https://www.producthunt.com/products/nocode#nocode,Directory of free resources/tools for non-tech entrepreneurs,19,1 review,"1,017"
Y Combinator Co-founder Matching,https://www.producthunt.com/products/startup-school#y-combinator-co-founder-matching,YC’s free online platform to help you find your co-founder,83,6 reviews,"1,148"
Beau 2.0,https://www.producthunt.com/posts/beau-2-0,Automate workflows for repetitive customer-facing tasks,144,,"1,224"
Ghostery 8,https://www.producthunt.com/products/ghostery#ghostery-8,"Blocks ads, stops trackers, and speeds up websites",31,8 reviews,"1,368"
Roadmap 2.0,https://www.producthunt.com/products/roadmap-2#roadmap-2-0,Product management tools for innovative teams,41,,"1,058"
Next Step for Trello,https://www.producthunt.com/products/next-step-for-trello#next-step-for-trello,Check tasks directly from your Trello boards,71,,980
zcal,https://www.producthunt.com/products/zcal#zcal,The free Calendly alternative that makes scheduling personal,163,23 reviews,"1,073"
Glide Pro,https://www.producthunt.com/products/glide-2#glide-pro,Building apps from spreadsheets just got way more powerful,65,,"1,080"
Croissant 2.0,https://www.producthunt.com/products/croissant#croissant-2-0,Unlock the hottest coworking spaces in your city,155,1 review,"1,116"
The Design Thinking Workshop Kit,https://www.producthunt.com/products/marvel#the-design-thinking-workshop-kit,A free digital and print kit to help run your own workshop,13,1 review,"1,068"
Routine,https://www.producthunt.com/products/routine#routine-2,"Tasks, notes and calendar into one fast productivity app",92,8 reviews,"1,021"
Morning Recovery,https://www.producthunt.com/products/more-labs#morning-recovery-2,Helps detox and counter the negative effects of alcohol,173,60 reviews,"1,163"
Infogram,https://www.producthunt.com/products/infogram#infogram,Make charts & infographics that people love,12,1 review,987
OpenPhone 2.0,https://www.producthunt.com/products/openphone#openphone-2-0,The new phone for business. Now on desktop and for teams.,146,21 reviews,"1,124"
Slash 1.0,https://www.producthunt.com/products/getslash-co#slash-1-0,Get more done than ever before with the first DO app.,305,62 reviews,"1,154"
LiquidTime,https://www.producthunt.com/products/liquidtime#liquidtime,"Track, allocate, and plan your time",49,1 review,987
Hints,https://www.producthunt.com/products/hints#hints,Valuable info is quickly captured and self-organized,232,31 reviews,"1,252"
Productive for iOS,https://www.producthunt.com/products/productive-for-ios#productive-for-ios,Build good habits. Organize your life.,43,1 review,970
CV Compiler,https://www.producthunt.com/products/cv-compiler#cv-compiler,Better tech resume within minutes 🕐,41,5 reviews,"1,112"
Qatalog,https://www.producthunt.com/products/qatalog#qatalog,Your new work hub,135,8 reviews,"1,044"
Krisp Rooms,https://www.producthunt.com/products/krisp#krisp-rooms,AI noise & echo cancellation for meeting rooms,72,8 reviews,"1,227"
Magical,https://www.producthunt.com/products/magical#magical,Make tasks disappear like magic,253,7 reviews,"1,067"
Without Any Capital Book,https://www.producthunt.com/products/without-any-capital-book#without-any-capital-book,How to bootstrap profitable startups the hacker way,77,12 reviews,"1,111"
Bites,https://www.producthunt.com/products/bites#bites,Ready to use modals and popups,36,,"1,049"
UIHUT 2.0,https://www.producthunt.com/products/ui-hut#uihut-2-0,"15,000+ design & code resources",206,12 reviews,"1,169"
Weava for Desktop,https://www.producthunt.com/products/weava#weava-for-desktop,Organize your research and notes beautifully ✨,18,1 review,996
Spark,https://www.producthunt.com/products/printer-pro-by-readdle#spark-6,"A smart, fast and free email client for iPhone",59,4 reviews,"1,578"
200 Words a Day,https://www.producthunt.com/products/200-words-a-day#200-words-a-day,A community to get into a writing habit and improve ✍️,87,17 reviews,"1,031"
Quuu,https://www.producthunt.com/products/quuu#quuu,Hand curated content suggestions for social media,109,,945
Rize,https://www.producthunt.com/products/rizeio#rize-99c102a1-d518-4e87-9944-3ea5ea710785,An intelligent time tracker that makes you more productive,216,21 reviews,"1,174"
User Flow by Flowmapp,https://www.producthunt.com/products/flowmapp#user-flow-by-flowmapp,A simple tool for creating User Flow Diagrams,22,7 reviews,"1,122"
Api.ai for Slack,https://www.producthunt.com/products/knowledge-base-web-widget#api-ai-for-slack,Build a smart conversational Slack bot in 5 minutes.,28,,"1,005"
Product Manifesto,https://www.producthunt.com/products/product-manifesto#product-manifesto,10 principles for building better products,74,9 reviews,"1,170"
Pulse,https://www.producthunt.com/products/pulse-6#pulse-7,Fall asleep in 60 seconds with this innovative breathing app,63,1 review,"1,004"
Sip for Mac,https://www.producthunt.com/products/sip#sip-for-mac,"The best way to  collect, organize & share your colors",33,2 reviews,988
Sony Digital Paper,https://www.producthunt.com/products/sony#sony-digital-paper,Reinventing paper. Sony's e-ink tablet.,68,,982
Creately 3.0,https://www.producthunt.com/products/creately#creately-3-0,"The simplest way to visualize ideas, plans & processes",40,3 reviews,"1,081"
Slidebean 3.0,https://www.producthunt.com/products/slidebean#slidebean-3-0,"Create stunning, professional presentations in minutes",34,1 review,"1,165"
focusmusic.fm,https://www.producthunt.com/products/focusmusic-fm#focusmusic-fm,"Music for work, productivity, and flow.",48,1 review,957
Novorésumé,https://www.producthunt.com/products/novoresume#novoresume-2,Update your résumé for 2020,228,158 reviews,"1,387"
The Remote Stash,https://www.producthunt.com/products/standuply#the-remote-stash,A curated list of the 330 best tools for remote work ⛱️,15,1 review,"1,010"
Taskade for Chrome & Firefox,https://www.producthunt.com/products/taskade#taskade-for-chrome-firefox,"Turn your new tab into a team checklist, note, outline ⚡️✏️✅",66,9 reviews,"1,164"
UI Faces,https://www.producthunt.com/products/uifaces#ui-faces,Avatars for design mockups,40,,995
PDFShift,https://www.producthunt.com/products/pdfshift#pdfshift,Convert any HTML to PDF with a single POST request.,50,3 reviews,"1,071"
Hatchful,https://www.producthunt.com/products/hatchful#hatchful,Free stunning logo generator by Shopify,28,9 reviews,"1,020"
Responsive Viewer,https://www.producthunt.com/products/responsive-viewer#responsive-viewer,View multiple screen dimensions in one view,65,6 reviews,"1,047"
Magic,https://www.producthunt.com/products/magic#magic,"Get whatever you want on demand with no hassle, through SMS",28,,980
Meetingbird,https://www.producthunt.com/products/meetingbird#meetingbird,Supercharge your team's meetings,47,1 review,"1,102"
Stubborn Generator,https://www.producthunt.com/products/stubborn-generator#stubborn-generator,Free illustrations constructor for Figma & Sketch.,63,,"1,511"
Timestripe,https://www.producthunt.com/products/timestripe#timestripe-2,Goal-oriented planner,199,12 reviews,"1,010"
Tella 2.0,https://www.producthunt.com/products/tella-1-0#tella-2-0,"Record instantly shareable videos, from your web browser",140,14 reviews,957
Mapwize,https://www.producthunt.com/products/mapwize#mapwize,A user-friendly indoor mapping platform,43,6 reviews,"1,034"
Leave Me Alone 2.0,https://www.producthunt.com/products/leave-me-alone#leave-me-alone-2-0,Easily unsubscribe from unwanted emails 💌,108,12 reviews,"1,033"
Akiflow,https://www.producthunt.com/products/akiflow#akiflow,Control your web apps with one command line,197,19 reviews,"1,031"
Dowork.ai 2.0,https://www.producthunt.com/products/dowork#dowork-ai-2-0,"Estimate a project's timeline scope, costs, and beyond",126,8 reviews,870
Omni,https://www.producthunt.com/products/omni-4#omni-3,The all-in-one tool to supercharge your productivity,111,9 reviews,948
Atomize React,https://www.producthunt.com/products/atomize-react#atomize-react,An open source design system for ReactJS,28,5 reviews,"1,016"
GitHub + Slack Integration,https://www.producthunt.com/products/github-slack-integration#github-slack-integration,Full visibility into your GitHub projects right inside Slack,20,4 reviews,"1,036"
StackShare,https://www.producthunt.com/products/stackshare#stackshare-2,"Share your stack, see what other companies are using",11,,969
Designer Mill,https://www.producthunt.com/products/designermill#designer-mill,Collection of Best Free Design Resources,21,,964
The Notion Automation Hub,https://www.producthunt.com/products/the-notion-automation-hub#the-notion-automation-hub,Pre-built automations to supercharge your Notion setup,204,15 reviews,909
Bold,https://www.producthunt.com/products/notebold#bold-10,An internal blog for your team's knowledge and big ideas.,53,,926
Stein,https://www.producthunt.com/products/stein-2#stein-2,Use Google Sheets as your no-setup database,48,2 reviews,"1,013"
Startup Cemetery,https://www.producthunt.com/products/failory#startup-cemetery,Learn why 100+ startups have failed,60,2 reviews,"1,365"
lemstash,https://www.producthunt.com/products/lemstash#lemstash,The best curation of 250+ tools and guides for startups,276,23 reviews,"1,249"
Stash.ai,https://www.producthunt.com/products/stach#stash-ai-2,Cross-device bookmarking powered by artificial intelligence,83,2 reviews,980
Paste,https://www.producthunt.com/products/paste#paste-2,Clipboard history manager for your Mac,62,5 reviews,950
Airtable Universe,https://www.producthunt.com/products/airtable#airtable-universe,Real workflows from real people,30,3 reviews,938
MonkeyLearn 3.0,https://www.producthunt.com/products/monkeylearn#monkeylearn-3-0,Get actionable data from text with machine learning,37,7 reviews,983
Felix Gray Computer Glasses,https://www.producthunt.com/products/felix-gray#felix-gray-computer-glasses,Non-prescription glasses for people who stare at screens.,96,,965
Reflect,https://www.producthunt.com/products/reflect-6#reflect-notes,Fast networked note-taking,82,10 reviews,887
Code.xyz,https://www.producthunt.com/products/geocode-xyz#code-xyz,The online code editor for building APIs in a single click.,42,1 review,972
Clarke.ai,https://www.producthunt.com/products/clarke-ai#clarke-ai,AI powered assistant that dials into calls and takes notes,86,,930
My Time Zone,https://www.producthunt.com/products/mytimezone#my-time-zone,Automatic time zone conversion tool,56,5 reviews,995
PM Starter Pack,https://www.producthunt.com/products/pm-starter-pack#pm-starter-pack,Practical guide on how to get started in product management,13,,944
Notepin,https://www.producthunt.com/products/notepin#notepin-2,Extremely simple note-taking,47,1 review,"1,056"
Dorik,https://www.producthunt.com/products/dorik#dorik,"Build beautiful website in minutes, without code!",137,15 reviews,"1,039"
Headlime 2.0,https://www.producthunt.com/products/headlime-2-0#headlime-2-0,Professional marketing copy for anyone,125,10 reviews,961
Weet,https://www.producthunt.com/products/weet#weet,Asynchronous video communication for remote teams,89,9 reviews,"1,308"
Raindrop.io 3.0,https://www.producthunt.com/products/raindrop-io#raindrop-io-3-0,Smart bookmark manager,94,15 reviews,"1,393"
Morning Routine 3.0,https://www.producthunt.com/products/morning-routine-3-0#morning-routine-3-0,"Win the morning, win the day!",61,,954
Arcane Maps,https://www.producthunt.com/products/arcane-map#arcane-maps,Blockchain-based alternative to Google Maps,91,3 reviews,"1,056"
SearchCam,https://www.producthunt.com/products/searchcam#searchcam,CTRL+F for real world,60,2 reviews,982
Icon bundles,https://www.producthunt.com/products/iconscout#icon-bundles,Largest icon collection by top designers,16,,955
FlagTimes,https://www.producthunt.com/products/flagtimes#flagtimes-2,The macOS app for anyone working in multiple timezones.,53,6 reviews,972
Slack 2.0,https://www.producthunt.com/products/posts-2-0#slack-2-0-2,Improvements that make working in Slack easier for everyone,18,1 review,954
Undesign,https://www.producthunt.com/products/captain-share#undesign,Free design tools and resources for your projects,43,5 reviews,"1,231"
Plan 1.0,https://www.producthunt.com/products/plan#plan-1-0,Manage & organise your life,88,2 reviews,906
HazeOver: Distraction Dimmer,https://www.producthunt.com/products/hazeover#hazeover-distraction-dimmer,Focus on one app by dimming all the background windows,62,5 reviews,930
CodeSee Maps,https://www.producthunt.com/products/codesee-maps#codesee-maps,"Visualize code for faster onboarding, planning, and reviews.",122,11 reviews,"1,413"
Mailcastr,https://www.producthunt.com/products/mailcastr1#mailcastr-1,Create email signature that can track your emails,104,17 reviews,"1,059"
WatermarkRemover.io,https://www.producthunt.com/products/watermarkremover-io#watermarkremover-io,Remove watermarks from images using our robust AI technology,264,33 reviews,974
Launch,https://www.producthunt.com/products/product-school#launch-6,Free book featuring practical tips from top Product Managers,24,1 review,"1,495"
Studddent,https://www.producthunt.com/products/studddent#studddent,🏫 Curated list of online discounts for students,27,5 reviews,928
Techtion,https://www.producthunt.com/products/techtion#techtion,Up to 200 tech interview questions for startups❓💻,25,1 review,975
Notebook for Mac,https://www.producthunt.com/products/zoho#notebook-for-mac,The beautifully simple note-taking app from Zoho. Now on Mac,63,,999
MenubarX,https://www.producthunt.com/products/menubarx#menubarx,A powerful menu bar browser. Pin websites like Native Apps.,127,11 reviews,"1,085"
dashdash (now Rows),https://www.producthunt.com/products/rows#dashdash-now-rows,The best data & APIs for business in a spreadsheet,74,12 reviews,"1,049"
Bonsai Proposals,https://www.producthunt.com/products/bonsai#bonsai-proposals,Automated & beautiful proposals for creative freelancers,38,,944
Craft Docs,https://www.producthunt.com/products/craft-do#craft-docs,Cross-platform AppleOS document editor built with Catalyst,116,10 reviews,963
Getform 2.0,https://www.producthunt.com/products/getform#getform-2-0,Form backend platform for designers and developers,13,1 review,"1,037"
n8n desktop app,https://www.producthunt.com/products/n8n-io#n8n-desktop-app,Powerful low code workflows on your desktop,101,10 reviews,981
Veeer,https://www.producthunt.com/products/veeer#veeer,A lightweight window manager for your OSX.,38,4 reviews,938
Snappykit 1.0,https://www.producthunt.com/products/snappykit#snappykit-1-0,Create a stunning website for your mobile app,30,1 review,970
Mailroom Month,https://www.producthunt.com/products/mailroom-month#mailroom-month,📰 Get massive amounts of press for your startup — for free.,65,,942
InVision Studio Platform,https://www.producthunt.com/products/invision-studio#invision-studio-platform,"An early look at our new App Store, Asset Library, Open API",34,4 reviews,946
Intercom App Store,https://www.producthunt.com/products/intercom#intercom-app-store,Integrate with Intercom and grow your business,28,,959
100+ No-Code Resources,https://www.producthunt.com/posts/100-no-code-resources,"Everything on no-code communities, tools, newsletters...",87,,972
Dawn 2.0,https://www.producthunt.com/products/autopilot-2#dawn-2-0,The minimal calendar to organize everything,92,6 reviews,957
Hoverify 2.0,https://www.producthunt.com/products/hoverify#hoverify-2-0,All-in-one browser extension for web development,151,17 reviews,838
FullContact for Gmail,https://www.producthunt.com/products/fullcontact#fullcontact-for-gmail,Your Gmail Contacts. On steroids.,91,,923
Scrum,https://www.producthunt.com/products/the-startup-button#scrum-3,A platform for creators to share the things they're building,69,,957
SVG Artista,https://www.producthunt.com/products/svg-artista#svg-artista,Little tool that helps you create SVG animations,47,2 reviews,943
Drag Pro,https://www.producthunt.com/products/dragapp#drag-pro,Transform Gmail into organized To Do lists (like Trello),191,43 reviews,"1,116"
n8n.cloud,https://www.producthunt.com/products/n8n-cloud#n8n-cloud,Powerful workflow automation tool,107,10 reviews,"1,043"
Push by Zapier,https://www.producthunt.com/products/zapier#push-by-zapier,"A Chrome extension to automate 500+ apps, powered by Zapier",33,1 review,899
Flowdash,https://www.producthunt.com/products/flowdash#flowdash,No-code visual builder for business processes and workflows,57,3 reviews,"1,325"
Ora,https://www.producthunt.com/products/ora-pm#ora-2,"Agile task management, kanban, scrum, sprints and timers",47,4 reviews,949
Neeva,https://www.producthunt.com/products/neeva-2#neeva-4,"Ad-free, private search",115,15 reviews,"1,097"
Notion Automations,https://www.producthunt.com/products/notion-automations#notion-automations,Automate your Notion workflows with Zapier,53,4 reviews,956
Power Menu for Finder,https://www.producthunt.com/products/fiplab#power-menu-for-finder,The workflow enhancing Finder extension for Mac,36,,896
Hypefury,https://www.producthunt.com/products/hypefury#hypefury,Twitter tool for content creation & audience building,294,48 reviews,"1,019"
Cards by JotForm,https://www.producthunt.com/products/jotform#cards-by-jotform,The friendly way to ask,79,30 reviews,"1,478"
Curie,https://www.producthunt.com/products/curie#curie,Your personal posture trainer at work,36,1 review,911
Name Ideas Generator,https://www.producthunt.com/products/name-ideas-generator#name-ideas-generator,A simplistic domain name generator.,21,7 reviews,933
Humans,https://www.producthunt.com/products/kukla-kit#humans-4,Big pack of 3D characters for your next project,77,4 reviews,967
Picniic,https://www.producthunt.com/products/picniic#picniic-2,Slack for the Home. Family management platform.,76,,887
CSS Scan Pro 2.0,https://www.producthunt.com/products/css-scan#css-scan-pro-2-0,A re-imagined Devtools for web design,96,4 reviews,910
Struct Illustrations,https://www.producthunt.com/products/struct-illustrations#struct-illustrations,Create your own unique story with editable illustrations,39,1 review,"1,189"
AI Article Writer,https://www.producthunt.com/products/growth-hack-ai#ai-article-writer,Generate articles and blog posts in seconds with AI,110,6 reviews,941
Pop,https://www.producthunt.com/products/pop#pop-10,"WFH like you’re in the same room, by Screenhero cofounder.",55,3 reviews,921
Smart Canvas by Google,https://www.producthunt.com/posts/smart-canvas-by-google,Google's answer to Notion,46,,820
Visme 3.0,https://www.producthunt.com/products/visme#visme-3-0,"Create stunning slides, infographics & designs in minutes.",41,11 reviews,947
Startup School for Future Founders,https://www.producthunt.com/products/startup-school#startup-school-for-future-founders,YC's free 6-week program for aspiring founders,36,1 review,896
Matter,https://www.producthunt.com/products/matter-7#matter-e3ab0cd9-5942-4c5f-b67b-252f7501e7c0,"Read-it-later, reinvented",83,20 reviews,970
TinkerTool,https://www.producthunt.com/products/tinkertool#tinkertool,Tinker with the hidden settings of your Mac,19,,865
Oku,https://www.producthunt.com/products/oku#oku,Track your book lists and get recs from your friends,151,19 reviews,"1,002"
Hypnopedia,https://www.producthunt.com/products/hypnopedia#hypnopedia,A new way to enhance your mental health and motivation,225,8 reviews,"1,597"
Almanac,https://www.producthunt.com/products/almanac#almanac-3,Doc Editor & Platform for Async Collaboration,135,19 reviews,"1,332"
Replace Cover,https://www.producthunt.com/products/replace-cover#replace-cover,Create beautiful cover art for your Spotify playlists,37,6 reviews,971
Todoist Foundations,https://www.producthunt.com/products/todoist#todoist-foundations,A faster and more intuitive way to get things done ✨,68,9 reviews,992
Somebody.io,https://www.producthunt.com/products/somebody-io#somebody-io,Create your own personal website in under 3 minutes,67,1 review,863
Archbee 2.0,https://www.producthunt.com/products/archbee#archbee-2-0,Lightweight documentation tool for software teams & products,152,14 reviews,955
RegexLearn,https://www.producthunt.com/products/regexlearn#regexlearn,"Learn RegEx step by step, from zero to advanced",60,11 reviews,"1,042"
Zenkit,https://www.producthunt.com/products/zenkit#zenkit,The project management tool that grows with you,74,15 reviews,"1,556"
Brandpa,https://www.producthunt.com/products/brandpa#brandpa,Domain names for startups,44,2 reviews,944
Kosy,https://www.producthunt.com/products/kosy-office#kosy,A virtual space where remote teams work and hang out in,239,16 reviews,"1,105"
Yodas Hyper,https://www.producthunt.com/products/yodas-your-personal-career-researcher#yodas-hyper,List of Silicon Valley startups that are about to grow fast,60,,908
Rocketlane,https://www.producthunt.com/products/rocketlane#rocketlane,A collaborative customer onboarding platform,100,12 reviews,"1,088"
Flotato,https://www.producthunt.com/products/flotato#flotato,"Instantly create native, light Mac apps for any web app",58,9 reviews,935
Noloco,https://www.producthunt.com/products/noloco-website-builder#noloco,"Build truly custom web apps faster, without code",139,9 reviews,"1,028"
Newsletter Stack,https://www.producthunt.com/products/newsletter-stack#newsletter-stack-2,Curated newsletters to help you learn about anything.,133,7 reviews,"1,261"
dashdash (now Rows) Templates,https://www.producthunt.com/products/rows#dashdash-now-rows-templates,Prebuilt customizable tools to access business data and APIs,65,7 reviews,"1,240"
Weglot Translate,https://www.producthunt.com/products/weglot#weglot-translate,"Translate your website instantly, no code required",113,16 reviews,"1,040"
Flowrite,https://www.producthunt.com/products/flowrite#flowrite-2,Turn words into ready-to-send emails and messages with AI ✏️,151,11 reviews,916
Done,https://www.producthunt.com/products/done-3#done-3,Build habits and track your progress multiple times a day 📊✅,32,4 reviews,"1,021"
Ship it,https://www.producthunt.com/products/product-school#ship-it-c98bc69f-ae69-4e20-9266-96b5554a1221,Free book where Silicon Valley product managers reveal all 🙊,58,7 reviews,"3,277"
Hyper 1.0.0,https://www.producthunt.com/products/hyper#hyper-1-0-0,"Terminal built and extensible with HTML, CSS, and JavaScript",40,,877
Teamflow,https://www.producthunt.com/products/teamflow#teamflow,Feel like a team again with your own virtual office,94,22 reviews,978
lofi.cafe,https://www.producthunt.com/products/lofi#lofi-cafe,Relax and focus with live lofi stations,74,12 reviews,818
Swish,https://www.producthunt.com/products/swish#swish-7,The missing gesture layer for macOS.,107,14 reviews,961
Newsletter Operating System,https://www.producthunt.com/products/newsletter-operating-system#newsletter-operating-system,All-in-one dashboard to launch & grow your newsletter,172,24 reviews,858
Apple Watch Series 3,https://www.producthunt.com/products/apple-watch-series-3#apple-watch-series-3-3,Apple's newest internet-connected smartwatch,44,,884
Meetingbird for Gmail,https://www.producthunt.com/products/meetingbird#meetingbird-for-gmail,View your calendar and schedule meetings right from Gmail,40,,904
Tonkean,https://www.producthunt.com/products/tonkean#tonkean,AI powered dashboard with automatic insights from your team,23,5 reviews,"1,054"
Coda Automation,https://www.producthunt.com/products/coda#coda-automation,"Put your small, important tasks on autopilot.",20,3 reviews,970
Mixmax for Google Inbox,https://www.producthunt.com/products/mixmax#mixmax-for-google-inbox,"The essential productivity suite (tracking, calendar & more)",49,,859
Site Palette,https://www.producthunt.com/products/site-palette#site-palette,Get the essential colours from any website,50,3 reviews,926
Listen,https://www.producthunt.com/products/listen-3#listen-4,A smart phone number,149,,848
Tolstoy,https://www.producthunt.com/products/tolstoy#tolstoy-2,"Branching videos for sales, support, recruiting teams & more",176,22 reviews,"1,025"
Recordings with Pitch,https://www.producthunt.com/products/pitch#recordings-with-pitch,Turn presentations into expressive video narratives,141,,919
Evolt Design Suite,https://www.producthunt.com/products/evolt#evolt-design-suite,The design thinking suite to create great user experiences,22,,949
Wormhole,https://www.producthunt.com/products/wormhole#wormhole-2,"Simple, fast, and private file sharing ✨",204,11 reviews,"1,303"
StorkStand 2.0,https://www.producthunt.com/products/storkstand-2-0#storkstand-2-0,StorkStand transforms any chair into a healthy standing desk,84,,859
Freezetab,https://www.producthunt.com/products/freezetab#freezetab,A powerful alternative to bookmarks.,49,5 reviews,925
Dialogs by Slack,https://www.producthunt.com/products/slack-platform#dialogs-by-slack,Build interactive forms in Slack that do all sorts of things,24,3 reviews,884
Hunter TechLookup,https://www.producthunt.com/products/hunter#hunter-techlookup,Create lists of websites by technology for free,37,,907
Wonder,https://www.producthunt.com/products/wonder-6#wonder-4,Your personal research assistant,41,,886
If No Reply,https://www.producthunt.com/products/if-no-reply#if-no-reply-4,Simple email automation that works for Gmail,128,,"1,129"
Blobs 2.0,https://www.producthunt.com/products/blobs#blobs-2-0,Generate beautiful blobs for your design,50,1 review,853
Y-Productive,https://www.producthunt.com/products/y-productive#y-productive-2,Keep your work and distractions under control,113,18 reviews,"1,017"
Flow-e 2.0,https://www.producthunt.com/products/flow-e#flow-e-2-0,Turn your Gmail & Outlook into Trello-like task lists 💌,96,14 reviews,881
Submit Checklist,https://www.producthunt.com/products/submit-checklist#submit-checklist,Checklist of directories to submit your startup,35,4 reviews,897
Mesh,https://www.producthunt.com/products/morflax-studio#mesh-6,Design 3D illustrations & icons in a quick and engaging way,146,14 reviews,849
Amphetamine,https://www.producthunt.com/products/opensoul-2#amphetamine-3,Powerful keep-awake utility for macOS,37,,838
Charts Factory,https://www.producthunt.com/products/indie-hackers#charts-factory,Create simple charts super fast and for free!,34,3 reviews,938
AppMockUp,https://www.producthunt.com/products/appmockup#appmockup,Create the most compelling screenshots for your app.,49,4 reviews,918
StopAd PRO,https://www.producthunt.com/products/stopad#stopad-pro,The ultimate ad blocker for Windows and Mac.,163,29 reviews,"1,592"
Retro Patents,https://www.producthunt.com/products/retro-patents#retro-patents,Order limited edition prints of tech & gaming patents,47,,853
Visme for Infographics,https://www.producthunt.com/products/visme#visme-for-infographics,Create infographics in minutes from ready-made blocks.,43,,934
Pitch,https://www.producthunt.com/products/pitch#pitch-7,Collaborative presentation software for modern teams,60,7 reviews,"1,321"
Mate Translate for iMessage,https://www.producthunt.com/products/mate-translate-2#mate-translate-for-imessage,Chat in any language in iMessage,29,,911
Lose the Very,https://www.producthunt.com/products/lose-the-very#lose-the-very,"""Very good english"" is not very good english. Lose the very.",60,4 reviews,898
One Profile,https://www.producthunt.com/products/one-profile#one-profile,Discontinued,86,4 reviews,879
